area,beta,p,perm_mean,perm_sd,p_adj
Frontal Pole,13.787560754301428,0.023,5.666721013462154,4.0557405027883044,0.667
Insular Cortex,32.23889900083671,0,2.4640934957776284,4.757456866597262,0
Superior Frontal Gyrus,4.0734398182627505,0.426,3.34089653658689,4.15320213412585,1
Middle Frontal Gyrus,6.829200575902235,0.145,1.8622193628944534,4.70049549203035,1
"Inferior Frontal Gyrus, pars triangularis",-7.830073972146308,0.944,-0.25883978445589156,4.744870646327755,1
"Inferior Frontal Gyrus, pars opercularis",-6.189668082926927,0.96,2.50328409730285,4.867502607236293,1
Precentral Gyrus,8.82212281327325,0.014,0.5389052129255695,3.9851464055998496,0.462
Temporal Pole,-1.1583803548288665,0.82,4.584192273275812,6.099857021661682,1
"Superior Temporal Gyrus, anterior division",-35.011197959766406,0.999,-8.328637979468287,7.821290291740897,1
"Superior Temporal Gyrus, posterior division",-51.511797404507746,1,-10.199298426123635,9.940920062242279,1
"Middle Temporal Gyrus, anterior division",-24.383660847126396,0.999,2.0680031022118945,7.865571759201826,1
"Middle Temporal Gyrus, posterior division",-44.279746870626305,1,1.0268657460555917,9.908724751942966,1
"Middle Temporal Gyrus, temporooccipital part",-19.53468478574218,0.997,-1.05311007419861,7.435592014242569,1
"Inferior Temporal Gyrus, anterior division",-2.489756504708987,0.796,2.3475404639981696,5.792697455189605,1
"Inferior Temporal Gyrus, posterior division",-0.8200445099700093,0.658,1.1372651749996712,5.122824658318118,1
"Inferior Temporal Gyrus, temporooccipital part",2.069459441752714,0.101,-5.156941934606955,5.7298750947942905,1
Postcentral Gyrus,12.242383633708185,0.008,1.4900930640383598,4.222917938517759,0.28
Superior Parietal Lobule,9.158907577123333,0.045,1.3689428266905062,4.4918974056779515,1
"Supramarginal Gyrus, anterior division",7.949388160636994,0.128,2.110390876281413,5.023968864958507,1
"Supramarginal Gyrus, posterior division",11.596132329022344,0.014,0.7432608596712043,4.908322328561624,0.462
Angular Gyrus,8.40908692640005,0.287,4.642330337643062,6.117147673916981,1
"Lateral Occipital Cortex, superior division",10.638587247434925,0.018,-0.6978680856945418,5.415665604764337,0.5579999999999999
"Lateral Occipital Cortex, inferior division",10.648446937874816,0.039,1.1916990698871612,5.323741863727522,0.988
Intracalcarine Cortex,25.837858864593098,0,3.8686272778988733,4.599572172386941,0
Frontal Medial Cortex,16.633181255159382,0.005,4.293655458490277,4.660615509336605,0.18
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),8.339314417265072,0.018,-0.2681386452588065,3.998959285444371,0.5579999999999999
Subcallosal Cortex,8.600166759594352,0.052,2.583828847376199,3.6471333915834894,1
Paracingulate Gyrus,13.136748316862628,0.152,8.090944179309853,4.719994415428658,1
"Cingulate Gyrus, anterior division",35.86869491087471,0,4.7661845641940905,4.9028774459621305,0
"Cingulate Gyrus, posterior division",22.816020735026342,0,4.309938801341965,5.7347239541578405,0
Precuneous Cortex,16.724888669394442,0.004,1.8246492588433842,6.240670377395717,0.148
Cuneal Cortex,27.612406174279375,0,2.679093034641759,5.498809502734136,0
Frontal Orbital Cortex,15.495394870856662,0.034,5.4855444569351794,5.222026273636811,0.918
"Parahippocampal Gyrus, anterior division",5.022664000244154,0.165,0.4108739800462791,4.665328926480897,1
"Parahippocampal Gyrus, posterior division",9.685802584391729,0.011,-2.4661749612837958,5.369501285531553,0.374
Lingual Gyrus,23.426467276708877,0,1.6564774546607597,4.634595093578144,0
"Temporal Fusiform Cortex, anterior division",-1.566776675925148,0.867,4.0682219757680915,5.175910249805651,1
"Temporal Fusiform Cortex, posterior division",-2.622852516686949,0.607,-1.2213799522998727,4.802994555975408,1
Temporal Occipital Fusiform Cortex,15.992498231102196,0.003,2.1004871874141275,5.173567094405364,0.117
Occipital Fusiform Gyrus,22.829354807142785,0,4.721020394965398,5.492654024261131,0
Frontal Operculum Cortex,23.916810310058416,0,6.53502911532721,4.799280852268518,0
Central Opercular Cortex,9.507083034606461,0.023,-0.914232516593505,4.949040091923792,0.667
Parietal Operculum Cortex,14.343741416373232,0.003,-0.8631286536138747,5.249346986309609,0.117
Planum Polare,-11.22125919418316,0.784,-6.582228423668114,5.666786595421297,1
Heschl's Gyrus (includes H1 and H2),-29.795603075120844,0.974,-13.956208873198383,8.231326899879045,1
Planum Temporale,-23.482039040245198,0.945,-11.941023201863127,7.326023438209086,1
Supracalcarine Cortex,27.290551988807596,0,4.877853310907779,4.849920107307699,0
Occipital Pole,17.49596848873779,0,1.4989641905271383,4.420202739550188,0
Hippocampus,10.699044392611913,0.038,1.866706811115207,5.190741701739601,0.988
