area,beta,p,perm_mean,perm_sd,p_adj
Frontal Pole,7.554581594053433,0.021,-0.17230879253562273,3.7057012067452417,0.672
Insular Cortex,21.53005437020252,0,0.18433728251415146,4.46017077079536,0
Superior Frontal Gyrus,0.19782169668280397,0.517,0.20550766895178482,3.692445620555616,1
Middle Frontal Gyrus,4.150156358750614,0.148,0.13365855517251163,3.920852982221073,1
"Inferior Frontal Gyrus, pars triangularis",-6.46215843992773,0.943,0.20496687645392794,4.248748530424532,1
"Inferior Frontal Gyrus, pars opercularis",-3.1494523915347514,0.801,0.6082756039533814,4.417920873998433,1
Precentral Gyrus,5.71201354505083,0.086,0.9726078022794973,3.5601355370801415,1
Temporal Pole,-2.2185283614369644,0.679,0.2832453543068269,5.432036724512265,1
"Superior Temporal Gyrus, anterior division",-11.367046486037049,0.981,4.296348345558163,6.7979596315565995,1
"Superior Temporal Gyrus, posterior division",-18.675129479442763,0.996,5.686051115051918,8.57828624694242,1
"Middle Temporal Gyrus, anterior division",-8.084083256925139,0.928,1.8686545240704606,6.675078857226742,1
"Middle Temporal Gyrus, posterior division",-16.38244487931955,0.983,3.0373543887706567,8.406421225989494,1
"Middle Temporal Gyrus, temporooccipital part",0.4852989702163699,0.549,1.2478927612095143,6.5272011294247445,1
"Inferior Temporal Gyrus, anterior division",-5.374843960038312,0.851,-0.3967043413040865,4.752962134730077,1
"Inferior Temporal Gyrus, posterior division",-0.9339647265208422,0.564,-0.1145705948762468,4.408707528486762,1
"Inferior Temporal Gyrus, temporooccipital part",0.38536933078066077,0.477,0.07378143840598704,4.998210780862806,1
Postcentral Gyrus,7.012492775248233,0.053,1.0293315812261128,3.7078537186563123,1
Superior Parietal Lobule,4.196194350465597,0.175,0.6091693764610965,3.791568826222169,1
"Supramarginal Gyrus, anterior division",-2.0040404648807706,0.73,0.6011231095182695,4.304496527530894,1
"Supramarginal Gyrus, posterior division",6.32711365959649,0.07,0.05168496769798946,4.25949124251198,1
Angular Gyrus,8.518373796742699,0.04,-0.4552772372129928,5.124399357660686,1
"Lateral Occipital Cortex, superior division",9.012274929011806,0.024,0.07144529108562366,4.629975683321101,0.744
"Lateral Occipital Cortex, inferior division",3.108248948614725,0.263,0.31972365451030327,4.6072754276551295,1
Intracalcarine Cortex,29.305228999582802,0,-0.4058894055151015,4.398255046198827,0
Frontal Medial Cortex,17.938463620879205,0,0.021314494609565568,4.398070537564561,0
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),3.576563142181283,0.212,0.5694888170089577,3.645477486212986,1
Subcallosal Cortex,9.685797761961012,0.002,-0.22304745982079754,3.429348920422439,0.076
Paracingulate Gyrus,10.022498301679088,0.011,-0.4508525257772912,4.2725815005884025,0.374
"Cingulate Gyrus, anterior division",26.188448494503977,0,-0.49351961857289883,4.547155914610169,0
"Cingulate Gyrus, posterior division",33.165033754684124,0,-0.49977992804917126,5.279698839267503,0
Precuneous Cortex,24.281415115557035,0,-0.08424546187814229,5.692328659648725,0
Cuneal Cortex,27.721432558188948,0,-0.36579823875889406,5.289757659276674,0
Frontal Orbital Cortex,11.67595203946147,0.008,-0.49987034165558086,4.7306744329379535,0.28
"Parahippocampal Gyrus, anterior division",5.108119522904926,0.098,-0.4297831019292728,4.19739061536207,1
"Parahippocampal Gyrus, posterior division",17.984998506710642,0,-0.03943910432381657,4.632751630681815,0
Lingual Gyrus,24.261355176028395,0,-0.3205252663191418,4.311826298872661,0
"Temporal Fusiform Cortex, anterior division",-8.610429125675838,0.974,0.01837245403987582,4.394194758450347,1
"Temporal Fusiform Cortex, posterior division",2.8297408870681995,0.279,0.5505965116384489,4.193113228707034,1
Temporal Occipital Fusiform Cortex,9.02727433209353,0.03,0.07326769932620285,4.515515849746051,0.8999999999999999
Occipital Fusiform Gyrus,11.156773085845712,0.012,0.06568708221353915,4.825805096837197,0.396
Frontal Operculum Cortex,19.220368874858845,0,-0.8049661825978855,4.639239019460748,0
Central Opercular Cortex,2.376782509689677,0.449,1.7076588234716612,4.5427014080657875,1
Parietal Operculum Cortex,5.346705125560445,0.204,1.3686959982595954,4.750034702817075,1
Planum Polare,-3.7201163455608794,0.922,3.3934086803799604,5.128289564363001,1
Heschl's Gyrus (includes H1 and H2),-12.79931622992968,0.997,5.0101455287184,7.364189481595608,1
Planum Temporale,-8.659790621900207,0.978,4.6097652848525925,6.537458921812265,1
Supracalcarine Cortex,31.986266848215582,0,-0.40716621132234443,4.71250806935692,0
Occipital Pole,11.191314229257673,0.004,0.19023562120542437,4.133095982414997,0.14400000000000002
Hippocampus,13.267179331748823,0.002,-0.008989223556534209,4.532317126720173,0.076
