subj,lang,listening,gender
o9e,fi,first,f
v1i,fi,first,f
d3a,fi,first,m
e6x,fi,first,m
q4c,fi,first,m
b1k,fi,first,f
p5n,fi,first,f
r9j,fi,first,f
i7c,fi,first,m
g3r,fi,first,m
i2p,fi,first,f
t9n,fi,first,m
d3l,ru,first,f
b4a,ru,first,m
j3f,ru,first,f
l8i,ru,first,m
m3w,ru,first,f
u2p,ru,first,f
n6g,ru,first,m
y3f,ru,first,m
j9b,ru,first,f
l2q,ru,first,m
c2j,ru,first,f
a5n,ru,first,m
l5e,ru,first,m
s7j,ru,first,f
n6z,fi,second,m
t1u,fi,second,m
n5s,fi,second,m
m8f,fi,second,m
n5n,fi,second,m
z4t,fi,second,f
m3s,fi,second,m
t9u,fi,second,f
d6i,fi,second,f
y6g,fi,second,f
d4w,fi,second,f
p9u,fi,second,f
c6z,ru,second,f
w9l,ru,second,f
i9c,ru,second,m
m1i,ru,second,m
x1q,ru,second,f
y2t,ru,second,f
h5n,ru,second,f
u8v,ru,second,m
h8t,ru,second,f
g7n,ru,second,m
m8q,ru,second,m
b2z,ru,second,m
